Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
260960005000011,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,283,936,3.31,1.94,739.18,599139.71,810.8,599121.57,406.4,359405.74,702.37,413388.56,NA
260960005000012,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,1,285,950,3.33,2.34,571.39,269346.92,670.15,249635.84,341.39,243715.09,608.27,271964.08,NA
260960005000013,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,242,797,3.29,2.48,473.71,286100.47,658.84,275881.34,335.23,202437.47,621.45,197391.97,NA
260960005000014,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,265,870,3.28,2.86,922.15,858045.44,997.43,852984.64,544.93,597260.4,860.54,671746.83,NA
260960005000015,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,225,704,3.13,2.34,1211.58,1706885.05,1256.24,1713731.25,692.74,1030202.21,985.33,1177367.04,NA
260960005000016,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,423,1492,3.53,2.82,997.01,1477023.16,1178.04,1532100.97,566.13,842210.11,959.41,1050233.35,NA
260960005000017,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,235,695,2.96,1.56,1659.11,2015279.11,1830.47,1909257.33,1008.7,1434623.86,1482.27,1406132.7,NA
260960005000018,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,317,1108,3.5,2.9,1102.35,1531166.03,1239.17,1551738.86,669.81,1125275.24,1021.69,1357275.71,NA
260960005000019,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,348,1359,3.91,4.09,678.39,652559.95,996.11,641654.67,414.77,414644.21,880.47,470271.05,NA
260960005000020,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,292,1080,3.7,2.6,693.45,421087.09,775.82,407148.51,428.11,276016.92,682.72,266326.57,NA
260960005000021,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600020,Ouro Preto,1,0,386,1344,3.48,2.62,997.59,1422851.68,1116.14,1459727.36,585.86,784693.56,907.24,923757.47,NA
260960005000022,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600032,Tabajara,1,0,231,775,3.35,2.11,438.96,395467.38,745.59,443448.14,328.53,231953.73,628.25,255335.31,NA
260960005000023,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600032,Tabajara,1,0,229,734,3.21,2.25,440.62,392482.46,634.6,442485.18,392.03,255550.09,611.99,264343.32,NA
260960005000024,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600032,Tabajara,1,0,303,922,3.04,1.72,1065.28,1234097.37,1236.7,1220636.02,620.2,745832.7,1004.36,822126.63,NA
260960005000025,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600032,Tabajara,1,0,316,910,2.88,1.48,1059.77,1183589.02,1166.85,1178214.26,715.36,840435.39,1016.56,888194.98,NA
260960005000026,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600032,Tabajara,1,0,341,1121,3.29,2.25,871.99,1297763.9,1004.55,1362107.87,490.03,690760.58,845.3,891608.79,NA
260960005000027,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600032,Tabajara,1,0,183,599,3.27,1.8,751.77,877249.77,1196.29,864081.08,539.42,642866.47,1074.73,705757.11,NA
260960005000028,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600032,Tabajara,1,0,183,619,3.38,2.46,630.46,687847.92,812.49,738910.19,375.52,413541.38,685.25,542863.86,NA
260960005000029,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600032,Tabajara,1,0,266,951,3.58,2.63,805.61,869753.56,919.71,888077.3,471.13,478464.87,761.69,552375.66,NA
260960005000030,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,257,876,3.41,4.19,439.7,239613.11,551.23,238909.46,285.7,151553.47,511.11,155926.91,NA
260960005000031,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,513,2077,4.05,3.12,632.88,391830.66,780.45,367966.43,388.49,297923.68,716.05,314587.42,NA
260960005000032,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,1,211,709,3.36,2.25,546.59,580490.69,690.6,634302.66,329.81,301521.52,605.34,386893.87,NA
260960005000033,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,206,646,3.14,1.7,1481.1,6371696.85,1640.36,6797875.9,900.78,4334782.66,1409.48,6070573.13,NA
260960005000034,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,231,774,3.35,2.41,500.08,244935.51,598.54,234171.67,308.26,221032.12,556.13,261029.44,NA
260960005000035,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,129,446,3.46,2.13,714.87,696156.63,808.93,711804.21,454.92,457018.72,724.2,532870.02,NA
260960005000036,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,274,807,2.95,2.13,1254.71,1495466.25,1420.62,1457358.78,849.35,1211771.54,1224.65,1287759.04,NA
260960005000037,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,364,1099,3.02,2.19,1609.27,2223435.93,1748.58,2172165.93,982.03,1817490.73,1437.76,2005992.76,NA
260960005000038,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,174,588,3.38,3.28,535.89,275309.96,728.47,233632.68,418.7,250388.18,732.73,207933.43,NA
260960005000039,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,280,1136,4.06,4.26,638.59,689327.68,770.71,730295.94,366.95,350163.03,670.14,436472.87,NA
260960005000040,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,270,916,3.39,3.14,654.21,681912.16,739.06,707755.71,380.98,496454.5,690.64,686555.25,NA
260960005000041,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,333,1131,3.4,2.81,553.95,345255.41,812.63,296054.48,325.4,216653.86,710.29,199496.01,NA
260960005000042,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,237,714,3.01,1.92,1650.9,2981482.82,2006.48,2909817.76,1187.63,2394601.61,1756.35,2542786.64,NA
260960005000043,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,215,656,3.05,2.16,1458.92,3436429.45,1878.25,3637742.9,1051.94,2248707.4,1625.21,2543285.77,NA
260960005000044,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,1,232,816,3.52,2.75,453.78,164368.94,584.88,135016.68,283.24,148167.25,545.96,142148.82,NA
260960005000045,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600004,Fragoso,1,0,500,1554,3.11,1.62,813.22,562253.27,872.56,551480.88,503.93,453730.46,788.76,485562.21,NA
260960005000046,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600006,Bultrins,1,0,227,757,3.33,2.63,1069.62,1591980.02,1190.21,1628112.75,598.82,804059.62,923.3,940474.46,NA
260960005000047,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600006,Bultrins,1,0,255,828,3.25,2.14,447.29,383387.81,682.99,424678.16,338.24,256748.11,663.44,287930.51,NA
260960005000048,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600006,Bultrins,1,0,253,815,3.22,3.09,2160.08,5178550.54,2277.08,5192685.76,1219.29,3075065.63,1707,3473327.61,NA
260960005000049,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600006,Bultrins,1,0,299,1069,3.58,2.81,406.88,288505.74,602.27,309475.81,327.82,188258.55,594.21,182937.81,NA
260960005000050,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600007,Alto da Nação,1,0,301,1006,3.34,2.99,495.72,223701.96,634.94,198020.22,326.65,175728.35,596.91,159768.54,NA
260960005000051,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600007,Alto da Nação,1,0,308,1053,3.42,2.73,565.03,381427.12,734.3,371356.67,390.86,292602.21,692.28,309614.89,NA
260960005000052,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600007,Alto da Nação,1,1,395,1289,3.26,3.19,565.69,165590.9,605.55,153088.05,333.28,140104.23,515.02,122880.51,NA
260960005000053,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600009,Guadalupe,1,0,245,879,3.59,3.25,627.51,292701.33,677.27,282164.39,407.56,227298.61,619.39,214207.16,NA
260960005000054,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600009,Guadalupe,1,0,262,946,3.61,3.78,312.6,230650.55,639.86,262967.29,267.33,203725.14,596.74,258339.01,NA
260960005000055,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600009,Guadalupe,1,1,275,994,3.61,3.27,799.22,671928.71,882.67,668414.75,431.46,385127.77,733.17,433320.1,NA
260960005000056,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600014,Varadouro,1,1,231,787,3.41,3.46,559.68,437620.1,636.88,448871.05,342.59,281912.34,589.36,339691.42,NA
260960005000057,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600014,Varadouro,1,0,264,947,3.59,4.18,695.11,519665.17,787.59,515950.79,418.04,346075.21,685.01,384286.91,NA
260960005000058,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600014,Varadouro,1,0,398,1211,3.04,2.69,1973.95,10040792.2,2040.6,10244348.68,1125.42,4940906.17,1581.9,6224521.16,NA
260960005000059,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600014,Varadouro,1,1,268,925,3.45,4.19,527.31,442434.98,606.52,460933.08,302.99,244361.2,515.71,306353.52,NA
260960005000060,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600014,Varadouro,1,1,170,537,3.16,2.42,170.78,129958.89,483.88,218182.92,136.67,111769.4,525.49,226402.57,NA
260960005000061,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600014,Varadouro,1,1,72,219,3.04,1.84,679.71,137646.97,776.81,80982.25,332.72,159697.79,691.62,82875.6,NA
260960005000062,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600014,Varadouro,1,0,102,360,3.53,3.2,1136.76,1819290.99,1348.26,1873247.02,620.63,892835.73,1023.72,1060937.01,NA
260960005000063,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600019,Vila Popular,1,0,234,792,3.38,3.27,1159.55,1060555.82,1205.93,1046984.07,609.63,767145.8,977.61,870692.92,NA
260960005000064,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600019,Vila Popular,1,0,412,1362,3.31,2.58,867.33,569408.78,942.85,547726.37,537.69,441981.96,795.26,448876.86,NA
260960005000065,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600019,Vila Popular,1,0,232,770,3.32,2.32,605.13,385675.14,767.16,364525.74,409.08,281450.34,706.68,275880.42,NA
260960005000066,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600019,Vila Popular,1,0,174,534,3.07,1.88,1007.69,1476471.64,1209.23,1528419,647.96,1098262.3,1096.55,1367637.55,NA
260960005000067,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600019,Vila Popular,1,0,216,788,3.65,3.22,753.94,730815.74,843.79,742154.11,434.02,411182.16,734.74,475287.47,NA
260960005000068,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,347,1119,3.22,2.3,1211.66,1311970.63,1305.73,1290932.77,732.26,922811.64,1069.9,987164.56,NA
260960005000069,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,224,706,3.15,1.95,709.64,423455.74,850.05,387694.83,447.52,321627.34,761.55,308127.52,NA
260960005000070,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,150,485,3.23,1.86,791.64,499232.18,920.51,461582.85,517.35,463636.65,849.8,479111.03,NA
260960005000071,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,88,297,3.38,2.38,1124.4,5500039.85,1192.13,5753674.53,717.64,2628662.04,1043.47,3487077.35,NA
260960005000072,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,326,1057,3.24,2.25,1150.32,1197987.99,1201.94,1189677.04,634.45,795835.8,992.24,889775.9,NA
260960005000073,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,368,1195,3.25,2.58,964.9,732730.29,1085.89,693107.78,572.25,551363.35,919.01,566818.2,NA
260960005000074,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,216,598,2.77,1.66,1023.5,709848.32,1127.94,664247.55,710.03,739020.16,1048.24,736506.96,NA
260960005000075,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,218,673,3.09,2.22,983.84,506244.23,1041.16,475917,612.75,415675.85,904.53,349521.43,NA
260960005000076,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,349,1055,3.02,1.96,895.67,1243893.86,1096.81,1302826.37,588.24,921225.13,1012.77,1156557.86,NA
260960005000077,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,204,691,3.39,2.06,1781.7,3054915.79,1923.1,3025277.63,1021.99,2014590.49,1512.94,2240149.24,NA
260960005000078,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,303,1043,3.44,2.72,1417.97,2886089.81,1556.69,2952730.4,824.99,1564469.29,1232.3,1835368.91,NA
260960005000079,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,231,800,3.46,2.35,1467.46,2048366.01,1533.86,2039160.41,763.67,1226610.9,1214.39,1403605,NA
260960005000080,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,226,758,3.35,3.29,682.3,347979.07,771,324713.89,414.97,272385.51,650.33,273818.26,NA
260960005000081,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,155,530,3.42,1.87,1287.56,1190731.81,1385.92,1145060.97,785.07,962681.39,1204.94,971648.67,NA
260960005000082,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,266,880,3.31,2.7,972.17,1131096.14,1486.2,964250.25,616.62,710084.36,1164.56,702955.77,NA
260960005000083,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600021,Jardim Brasil,1,0,351,1098,3.13,2.14,711.68,431088.53,795.54,415119.71,435.81,313517.74,669.48,325200.76,NA
260960005000084,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600017,Sítio Novo,1,1,140,500,3.57,3.25,462.46,201186.97,616.61,172928.34,335.15,157611.5,598.17,123828.75,NA
260960005000085,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600017,Sítio Novo,1,0,267,891,3.34,2.89,849.11,584486.78,948.59,558490.83,508.61,399136.58,807.61,392288.28,NA
260960005000086,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600025,Caixa D'Água,1,1,304,1060,3.49,3.33,662.18,421789.23,742.82,413222.8,400.65,305924.77,653.84,333760.56,NA
260960005000087,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2609600,OLINDA,260960005,OLINDA,26096000500,OLINDA,2609600028,Alto da Bondade,1,1,230,780,3.39,2.68,392.83,83380.76,440.74,72381.5,254.65,84538.22,422.14,69396.48,NA
